name,unique_id
Grand Boulevard,0
Printers Row,1
United Center,2
Sheffield & Depaul,3
Humboldt Park,4
Garfield Park,5
North Lawndale,6
Little Village,7
Armour Square,8
Avalon Park,9
Burnside,10
Calumet Heights,11
Pullman,12
Riverdale,13
Hegewisch,14
Douglas,15
Oakland,16
Fuller Park,17
Woodlawn,18
Portage Park,19
Hermosa,20
Avondale,21
Logan Square,22
"Little Italy, Uic",23
Kenwood,24
Rogers Park,25
Jefferson Park,26
"Sauganash,Forest Glen",27
North Park,28
Albany Park,29
Irving Park,30
Dunning,31
West Ridge,32
Uptown,33
Norwood Park,34
Streeterville,35
South Shore,36
Chatham,37
South Chicago,38
Roseland,39
North Center,40
South Deering,41
East Side,42
West Pullman,43
Garfield Ridge,44
New City,45
Englewood,46
Grand Crossing,47
Ashburn,48
Mount Greenwood,49
Morgan Park,50
O'Hare,51
Jackson Park,52
Loop,53
Greektown,54
Museum Campus,55
Edgewater,56
Lake View,57
Lincoln Park,58
Magnificent Mile,59
Lincoln Square,60
Washington Park,61
Millenium Park,62
Near South Side,63
Chicago Lawn,64
Auburn Gresham,65
Beverly,66
Washington Heights,67
Edison Park,68
Hyde Park,69
Grant Park,70
West Loop,71
Bucktown,72
Lower West Side,73
Wrigleyville,74
Andersonville,75
Rush & Division,76
Archer Heights,77
Brighton Park,78
Mckinley Park,79
Bridgeport,80
West Elsdon,81
Gage Park,82
Clearing,83
West Lawn,84
Chinatown,85
East Village,86
West Town,87
Wicker Park,88
Galewood,89
Montclare,90
Belmont Cragin,91
Austin,92
Ukrainian Village,93
Old Town,94
Gold Coast,95
Boystown,96
River North,97
Beverley,66
Boys Town,96
DePaul,3
East Andersonville,75
East Garfield Park,5
Forest Glen,27
Greater Grand Crossing,47
Gresham,65
Lake View East,57
Lakeview,57
Lawndale,6
Little Italy,23
McKinley Park,79
New East Side,42
Old Irving Park,30
Roger's Park,25
Sauganash,27
South Loop,53
South Side,63
The Loop,53
The South Loop,53
Upton,33
West Englewood,46
West Garfield Park,5
West Rogers Park,25
West Side,73
the Loop,53
Alsip,98
Argyle,99
Argyle Street,99
Arlington Heights,100
Aurora,101
Back of the Yards,102
Barrington,103
Berwyn,104
Blue Island,105
Bolingbrook,106
Bronzeville,107
Buena Park,108
Buffalo Grove,109
Burbank,110
Calumet City,111
Chicago Park District,112
Cicero,113
Clarendon Hills,114
Des Plaines,115
Devon Avenue,116
Diversey,117
Downers Grove,118
Downtown,119
East Lakeview,120
Edgebrook,121
Elgin,122
Elmhurst,123
Elmwood Park,124
Evanston,125
Flossmoor,126
Forest Park,127
Fulton Market,128
Geneva,129
Glencoe,130
Glenview,131
Highland Park,132
Hinsdale,133
Hoffman Estates,134
Homewood,135
Homewood-Flossmoor,126
Joliet,136
Kenilworth,137
La Grange,138
Lake Forest,139
Lakeshore East,140
Lakeview East,120
Lansing,141
Lincolnwood,142
Lisle,143
Lombard,144
Lynwood,145
Marquette Park,146
Matteson,147
Maywood,148
Morton Grove,149
Mount Prospect,150
Mt Greenwood,151
Mt. Greenwood,151
Naperville,152
Near North Side,153
Near West Side,154
New Eastside,155
Niles,156
North Halsted,157
North Halsted Area,157
North Halsted Street Corridor,157
North Shore,158
North Shore Suburbs,158
North Side,153
Northalsted,157
Northbrook,159
Northside,153
Northwest Side,160
Oak Brook,161
Oak Lawn,162
Oak Park,163
Orland Park,164
Palatine,165
Palos Park,166
Park Ridge,167
Pilsen,168
Prairie District,169
Ravenswood,170
Ravenswood Manor,170
Ravenwood,170
River Forest,171
Riverside,172
Roscoe Village,173
Schaumburg,174
Skokie,175
South Holland,176
South Lawndale,177
South Suburbs,178
Southport Corridor,179
Southside Chicago,180
Southwest Side,181
The Glen,182
The North Shore,158
Tinley Park,183
Union Park,184
University Village,185
Waukegan,186
West Chicago,187
Western Springs,188
Westmont,189
Wheaton,190
Wildwood,191
Wilmette,192
Winnetka,193
Wrigley Field,194
