name,unique_id
Far North Dallas,0
North Dallas,1
Northeast Dallas,2
East Dallas,3
Lakewood,4
Lowest Greenville,5
Henderson Avenue,6
Lower Greenville,7
Upper Greenville,8
Knox,9
Uptown,10
Oak Lawn,11
Downtown,12
Deep Ellum,13
Old East Dallas,14
Fair Park,15
Southeast Dallas,16
Design District,17
North Oak Cliff,18
South Oak Cliff,19
Northwest Dallas,20
West Dallas,21
Southwest Dallas,22
South Dallas,23
Dallas,0
Dallas Design District,17
Dallas Uptown,10
Downtown Dallas,12
East Dallas – Lakewood,3
East Dallas-Lakewood,3
Far East Dallas,3
Greenville,5
Henderson,6
Knox-Henderson,9
Lakewood Heights,4
Oak Cliff,18
The Design District,17
Uptown Dallas,10
downtown Dallas,12
Addison,24
Allen,25
Arlington,26
Arts District,27
Bachman Lake,28
Bachman Lake area,28
Balch Springs,29
Bent Tree,30
Bishop Arts,31
Bishop Arts District,27
Bluffview,32
Buckner Terrace,33
Carroll,34
Carrollton,35
Carrollton-Farmers Branch,34
Carrolton,35
Casa Linda,36
Casa Linda-Casa View,36
Casa View,36
Castle Hills,37
Cedar Crest,38
Cedar Hill,39
Cedar Springs,40
Cedar Springs Area,40
Cedar Springs Road,40
Cedar Springs Road Area,40
Cedars,41
Celina,42
Central Dallas,43
Chinatown,44
Circle,45
Cityplace,46
Colleyville,47
Coppell,48
Dallas Arts District,27
Dallas Medical District,49
Dallas Park Cities,50
Dallas Southside,51
DeSoto,52
Denton,53
Desoto,52
Duncanville,54
Eagle Ford,55
East Competitive,56
Eastern Dallas,57
Eastwood,58
Fairmount,59
Fairmount-Southside Historic District,59
Fairview,60
Farmers Branch,34
Flower Mound,61
Forney,62
Fort Worth,63
Frisco,64
Garland,65
Grand Prairie,66
Grapevine,67
Grapevine-Colleyville,47
Greenland Hills,68
Greenville Avenue,69
Haltom City,70
Heights Park,71
Heritage District,72
Highland Park,73
Highland Village,74
Hollywood Heights,75
Irving,76
Irving - Las Colinas,76
Irving-Las Colinas,76
Junius Heights,77
Keller,78
Kessler,79
Kessler Park,79
Klyde Warren Park,80
Koreatown,81
Lake Highlands,82
Lake Ray Hubbard,83
Lancaster,84
Las Colinas,76
Lewisville,85
Little Elm,86
Little Forest Hills,87
Lochwood,88
Love Field,89
M Streets,90
M Streets - Greenland Hills,68
M-Streets,90
Magnolia Avenue,91
Main Street District,92
Mansfield,93
McKinney,94
Mckinney,94
Medical District,49
Mesquite,95
Midlothian,96
Midtown,97
Midway Hollow,98
Mockingbird Station,99
Morningside,100
Mountain Creek,101
Munger Place,102
Murphy,103
Near Southside,104
North Central Expressway,105
North Park,106
NorthPark,106
Northern Dallas,107
Northwood Hills,108
Oak Park Estates,109
Old Lake Highlands,82
Park Cities,50
Parker,110
Plano,111
Pleasant Grove,112
Preston Hollow,113
Prosper,114
Ravinia Heights,115
Red Bird,116
Redbird,116
Richardson,117
Rockwall,118
Rowlett,119
Sachse,120
South Side,121
Southern Dallas,122
Southlake,123
Southside,121
Stevens Park,124
Swiss Avenue,125
Telecom Corridor,126
The Arts District,27
The Cedars,41
The Colony,127
The M Streets,90
The Village,128
Trinity Groves,129
Turtle Creek,130
University Park,131
University of Dallas,132
University of Texas at Dallas,132
Valley Ranch,133
Vickery Meadow,134
Vickery Place,135
Victory Park,136
West Love,137
West Plano,111
West Village,138
White Rock,139
White Rock Lake,139
Wilmer,140
Wilmer-Hutchins,140
Winnetka Heights,141
Wycliff,142
Wylie,143
Wynnewood North,144
