name,unique_id
Adams-Normandie,0
Arleta,1
Arlington Heights,2
Atwater Village,3
Baldwin Hills/Crenshaw,4
Bel-Air,5
Beverly Crest,6
Beverly Grove,7
Beverlywood,8
Boyle Heights,9
Brentwood,10
Broadway-Manchester,11
Canoga Park,12
Carthay,13
Central-Alameda,14
Century City,15
Chatsworth,16
Chatsworth Reservoir,17
Chesterfield Square,18
Cheviot Hills,19
Chinatown,20
Cypress Park,21
Del Rey,22
Downtown,23
Eagle Rock,24
East Hollywood,25
Echo Park,26
El Sereno,27
Elysian Park,28
Elysian Valley,29
Encino,30
Exposition Park,31
Fairfax,32
Florence,33
Glassell Park,34
Gramercy Park,35
Granada Hills,36
Green Meadows,37
Griffith Park,38
Hancock Park,39
Hansen Dam,40
Harbor City,41
Harbor Gateway,42
Harvard Heights,43
Harvard Park,44
Highland Park,45
Historic South-Central,46
Hollywood,47
Hollywood Hills,48
Hollywood Hills West,49
Hyde Park,50
Jefferson Park,51
Koreatown,52
Lake Balboa,53
Lake View Terrace,54
Larchmont,55
Leimert Park,56
Lincoln Heights,57
Los Feliz,58
Manchester Square,59
Mar Vista,60
Mid-City,61
Mid-Wilshire,62
Mission Hills,63
Montecito Heights,64
Mount Washington,65
North Hills,66
North Hollywood,67
Northridge,68
Pacific Palisades,69
Pacoima,70
Palms,71
Panorama City,72
Pico-Robertson,73
Pico-Union,74
Playa Del Rey,75
Playa Vista,76
Porter Ranch,77
Rancho Park,78
Reseda,79
San Pedro,80
Sawtelle,81
Sepulveda Basin,82
Shadow Hills,83
Sherman Oaks,84
Silver Lake,85
South Park,86
Studio City,87
Sunland,88
Sun Valley,89
Sylmar,90
Tarzana,91
Toluca Lake,92
Tujunga,93
University Park,94
Valley Glen,95
Valley Village,96
Van Nuys,97
Venice,98
Vermont Knolls,99
Vermont-Slauson,100
Vermont Square,101
Vermont Vista,102
Watts,103
West Adams,104
Westchester,105
West Hills,106
Westlake,107
West Los Angeles,108
Westwood,109
Wilmington,110
Windsor Square,111
Winnetka,112
Woodland Hills,113
Baldwin Hills,4
Baldwin Hills-Crenshaw,4
Bel Air,5
Crenshaw,4
Crenshaw-Baldwin Hills,4
Cypress,21
Downtown Arts District,23
Downtown L.A.,23
Downtown LA,23
Downtown LA's Arts District,23
Downtown Los Angeles,23
Downtown Los Angeles Arts District,23
East Los Angeles,108
Fairfax District,32
Feliz,58
Harbor,41
Larchmont Village,55
Los Angeles,108
Los Angeles Downtown,23
Los Feliz hills,58
Marina Del Rey,22
Marina del Rey,22
Mid City,61
Mid-City Los Angeles,61
Mid-city,61
Mid-city Los Angeles,61
North Hollywood Arts District,47
Palisades,69
Pico Union,74
Playa del Rey,75
Sawtelle Japantown,81
Silverlake,85
South Central,46
Venice Beach,98
Washington,65
West Hollywood,49
Westlake Village,107
Wilshire,62
Agoura Hills,114
Alamitos Beach,115
Alhambra,116
AltaDena,117
Altadena,117
Anaheim,118
Antelope Valley,119
Arcadia,120
Artesia,121
Arts District,122
Azusa,123
Baldwin Hills Estates,124
Baldwin Park,125
Baldwin Village,126
Bell,127
Bell Gardens,127
Bellflower,127
Belmont Heights,128
Belmont Shore,129
Beverly Hills,130
Bixby Knolls,131
Brea,132
Buena Park,133
Burbank,134
Calabasas,135
California Heights,136
Carson,137
Cathedral City,138
Central City,139
Central L.A.,140
Central LA,140
Central Los Angeles,141
Cerritos,142
Chino Hills,143
City of Long Beach,144
City of Los Angeles,145
City of San Fernando,146
Claremont,147
Commerce,148
Compton,149
Conejo Valley,150
Corona,151
County of Los Angeles,145
Covina,152
Crenshaw District,153
Cudahy,154
Culver City,155
Cupertino,156
DTLA,157
Diamond Bar,158
Downey,159
Duarte,160
East L.A.,161
East LA,161
East Long Beach,162
East Village Arts District,122
Eastside,163
Eastside Los Angeles,163
Eastvale,164
El Monte,165
El Segundo,166
Fontana,167
Frogtown,168
Fullerton,169
Gardena,170
Gateway Cities,171
Glendale,172
Glendora,173
Hacienda Heights,174
Harbor Area,175
Harbor Region,176
Harbor region,176
Hawaiian Gardens,177
Hawthorne,178
Hermosa Beach,179
Historic Core,180
Historic Filipino Town,181
Historic Filipino town,181
Historic Filipinotown,181
Holmby Hills,182
Huntington Beach,183
Huntington Park,184
Inglewood,185
Inland Empire,186
Irvine,187
La Canada Flintridge,188
La Cañada Flintridge,188
La Crescenta,189
La Crescenta-Montrose,189
La Mirada,190
La Verne,191
Ladera Heights,192
Laguna Beach,193
Lakewood,194
Lakewood Village,194
Lancaster,195
Lawndale,196
Little Armenia,197
Little Ethiopia,198
Little Tokyo,199
Lomita,200
Long Beach,144
Los Alamitos,201
Los Altos,202
Lynwood,203
MacArthur Park,204
Malibu,205
Manhattan Beach,206
Maywood,207
Miracle Mile,208
Mission Viejo,209
Monrovia,210
Montebello,127
Monterey Park,211
Mt. Washington,212
Naples,213
Newhall,214
Newport Beach,215
NoHo Arts District,122
North Broadway,216
North East LA,161
North East Los Angeles,217
North LA,218
North Long Beach,144
Northeast L.A.,161
Northeast LA,161
Northeast Los Angeles,217
Norwalk,219
Oak Park,220
Old Pasadena,221
Ontario,222
Orange County,223
Oxnard,224
Palm Springs,225
Palmdale,226
Palos Verdes,227
Palos Verdes Estates,227
Palos Verdes Peninsula,227
Park Estates,228
Pasadena,221
Pico Rivera,229
Pico-Rivera,229
Placentia,230
Pomona,231
Rancho Palos Verdes,227
Redondo Beach,232
Riverside,233
Riverside County,233
Rosemead,234
Rowland Heights,235
San Bernardino,236
San Fernando,146
San Fernando Valley,146
San Gabriel,237
San Gabriel Valley,237
San Marino,238
Santa Ana,239
Santa Clarita,240
Santa Clarita Valley,240
Santa Monica,241
Santa Monica-Malibu,205
Saugus,242
Seal Beach,243
Sierra Madre,244
Signal Hill,245
Silicon Beach,246
Simi Valley,247
South Bay,248
South Bay Redondo Beach,232
South Central LA,140
South Gate,249
South L.A,250
South L.A.,250
South LA,250
South Los Angeles,251
South Pasadena,221
Southbay,248
Southeast LA,161
Southeast Los Angeles,217
Stevenson Ranch,252
Temple City,253
Thai Town,254
Thailand Town,255
The Arts District,122
The Grove,256
The San Fernando Valley,146
The Valley,257
Thousand Oaks,258
Topanga,259
Topanga Canyon,259
Torrance,260
Tustin,261
University of Southern California,262
VKER,263
Valencia,264
Ventura Boulevard,265
View Park,266
View Park-Windsor Hills,266
Walnut,267
West Covina,152
West L.A.,268
West LA,268
West San Gabriel Valley,237
West Torrance,260
Westminster,269
Westside,270
Westside Los Angeles,163
Westside Santa Monica,241
Whittier,271
Wilmore,272
Wilshire Center,273
Wilshire Corridor,274
Windsor Hills,266
Yorba Linda,275
