name,unique_id
Camelback East,0
South Mountain,1
Estrella,2
Laveen,3
North Mountain,4
Alahambra,5
Maryvale,6
North Gateway,7
New Village,8
Desert View,9
Ahwatukee Foothills,10
Central City,11
Paradise Valley,12
Deer Valley,13
Encanto,14
Ahwatukee,10
Alhambra,5
Camelback East Village,0
Central,11
Central City South,11
Central Phoenix Encanto,14
Desert View Village,9
Encanto Area,14
Encanto District,14
Encanto Palmcroft,14
Encanto Palmcroft Historic District,14
Encanto Park Area,14
Encanto Village,14
Encanto-Palmcroft,14
Encanto-Palmcroft Historic District,14
Encanto-Palmcroft Historic Districts,14
Encanto-Palmcroft Historic Preservation Area,14
Estrella Village,2
Maryvale Village,6
North,4
North Encanto,14
North Mountain Preserve Area,4
North Mountain Village,4
Paradise Valley Village,12
South Mountain Park,1
South Mountain Park Area,1
South Mountain Park and Preserve,1
South Mountain Village,1
Village,8
7th Avenue Corridor,15
Agritopia,16
Alvarado Historic District,17
Alvarado Historic Districts,17
Anthem,18
Apache Junction,19
Arcadia,20
Area Arts District,21
Arrowhead,22
Arrowhead Ranch,22
Arts District,21
Avenue's Districts,23
Avondale,24
Betz Ross Park,25
Biltmore,26
Biltmore Area,26
Buckeye,27
Camelback Corridor,28
Camelback Mountain,29
Carefree,30
Carriage Lane,31
Cave Creek,32
Central Avenue,33
Central Avenue Corridor,33
Central Coronado,34
Central Corridor,33
Central Phoenix,35
Central Phoenix - Midtown,35
Central Scottsdale,36
Cesar Chavez Park Area,37
Chandler,38
Commonwealth Avenue Historic District,39
Copper Square,40
Corona del Sol,41
Coronado,34
Coronado District,34
Coronado Historic District,34
Coronado Historic Neighborhood,34
Coronado Neighborhood,34
DC Ranch,42
Desert Horizon,43
Desert Ridge,44
Desert West,45
Downtown,46
Downtown Melrose District,46
Downtown Mesa,46
Downtown Phoenix,46
Downtown Phoenix Arts District,21
Downtown Scottsdale,46
Downtown Tempe,46
East Phoenix,47
East Valley,48
Evans Churchill,49
Evans-Churchill,49
F.Q. Story,50
FQ Story Historic District,51
Flagstaff,52
Fletcher Heights,53
Fountain Hills,54
Fulton Ranch,55
Gainey Ranch,56
Garfield,57
Garfield District,57
Garfield Historic District,57
Gila River Indian Community,58
Gilbert,59
Glendale,60
Goodyear,61
Grand,62
Grand Ave Arts District,21
Grand Avenue,62
Grand Avenue Arts District,21
Grayhawk,63
Greater Coronado,34
Guadalupe,64
Historic Arts District,21
Historic Coronado,34
Historic Coronado District,34
Historic District,21
Historic Districts,21
Historic Grand Avenue District,62
Historic Heritage Square,65
Historic Roosevelt,66
Historic Willo District,21
Kierland,67
Litchfield Park,68
McCormick Ranch,69
McDowell Sonoran Preserve,70
Melrose,46
Melrose District,46
Melrose district,46
Mesa,46
Metrocenter,71
Metrocenter Area,71
Midtown,35
Midtown Phoenix,35
Moon Valley,72
Norterra,73
North Central,74
North Central Avenue,33
North Central Corridor,33
North Central Phoenix,35
North East Valley,48
North Glendale,60
North Peoria,75
North Phoenix,76
North Scottsdale,77
North Tempe,78
North Valley,48
Northcentral Phoenix,35
Northeast Phoenix,79
Northeast Valley,48
Northeastern Phoenix,79
Northern Phoenix,76
Northgate,80
Northwest Phoenix,79
Northwest Valley,48
Ocotillo,81
Old Town Scottsdale,82
Oro Valley,83
Palmcroft,84
Papago Park Area,85
Peoria,75
Phoenix,35
Phoenix Arcadia,20
Phoenix Biltmore Area,26
Phoenix Central,35
Phoenix Midtown,35
Phoenix Mountain Preserve,35
Phoenix Mountains Preserve Area,35
Phoenix Sonoran Preserve Area,35
Pierson Place,86
Piestewa Peak,87
Pittsburgh,88
Power Ranch,89
Queen Creek,90
Roosevelt,66
Roosevelt District,66
Roosevelt Historic District,21
Roosevelt Row,66
Roosevelt Row Art District,66
Roosevelt Row Arts District,66
SLOTHE EAST Valley,48
Salt River Pima-Maricopa Indian Community,91
San Tan Valley,92
Scottsdale,36
Sedona,93
Seventh Avenue Corridor,94
South Phoenix,35
South Scottsdale,36
Southwest Phoenix,35
Sun City,95
Sun City West,95
Sun Lakes,96
Sunny Slope,97
Sunnyslope,97
Surprise,98
Tempe,46
The Melrose District,46
Tolleson,99
Tramonto,100
Uptown,101
Uptown Phoenix,35
Val Vista Lakes,102
Verrado,103
Vistancia,104
Warehouse District,105
West Phoenix,47
West Valley,48
Westgate,106
Westside,107
Wilbur Historic District,21
Wilcox,108
Wilcox Area,108
Wilcox Historic District,21
Wilhoit,109
Wilkensburg,110
Wilkes,111
Willo,21
Willo District,21
Willo Historic District,21
Willo Historic Neighborhood,21
Willow,21
Willow District,21
Willow Historic District,21
Wilshire District,112
Windsor Park,113
Windsor Square,114
downtown Phoenix,46
