name,unique_id
Green Spring Valley,0
The Springs At Stone Oak/ Stone Oak,1
Mountain View Acres Neighborhood Coalition,2
Oakmont Downs,3
Jade Oaks,4
Tanglewood,5
Woodridge,6
Hart Ranch Unit One,7
Auburn Oaks,8
Owners Association Of Westfield,9
Pembroke Farms/ Alamo Farmsteads-Babcock Road,10
Legend Hills/ Crownridge Of Texas,11
College Park,12
Wilshire,13
Fairways Of Woodlake,14
Village North One,15
Canyon Creek Bluffs,16
Valencia,17
El Dorado,18
Woodstone,19
Vista,20
Blossom Park,21
North Central Heritage,22
Whisper Hollow/ North Central Thousand Oaks,23
North Central Thousand Oaks,24
Wilderness Pointe,25
Stanton Run,26
Oak Bluff,27
Dellcrest Area,28
Adams Hill,29
Oxbow,30
Pecan Valley Heights/ Pecan Valley,31
Estates - Mission Hills,32
Brentfield,33
Sun Gate,34
Shavano Heights,35
Towne Lake Garden,36
Saddlebrook Farms,37
Braun Hollow,38
Tezel Heights,39
Village At Big Country,40
Meadow Village,41
Valley Forest/ People Active In Community Effort,42
Kensington Row,43
Spyglass Hill Condominium,44
Palm Heights,45
Tierra Linda,46
Monte Vista,47
Regency Park,48
The Fountains At Deerfield,49
The Waters At Deerfield,50
Hidden Forest,51
Canyon Creek Village,52
Canyon Creek Estates,53
Randolph Hills,54
Fox Run,55
High Country,56
Shady Oaks,57
The Bluffs Of Henderson Pass,58
Sonterra/ Stone Oak,59
Silverbrook,60
Coliseum-Willow Park,61
Hampshire House,62
Lockhill Estates,63
Devonshire Condominiums,64
Oak Meadow,65
Cadillac Drive,66
Inwood Homeowners,67
Ridge At Deerfield,68
Vista Del Norte,69
Countryside San Pedro,70
Echo Creek Hoa/ Alamo Farmsteads-Babcock Road,71
Sierra Vista,72
Verde Hills,73
Preston Hollow,74
Redland Estates,75
The Heights At Stone Oak Ii,76
The Dominion,77
Regency Meadow,78
Park Village,79
East Village,80
General Krueger,81
Camelot 1,82
Perrin Park,83
Crownhill Park,84
Churchill Heights,85
The Park At Deerfield,86
Walker Ranch,87
The Crossing At Quail Creek,88
North San Antonio Hills,89
Big Country,90
Park Forest,91
Whispering Oaks,92
Redland Springs,93
Summerglen,94
Summit/ Stone Oak,95
Northwood Hills Improvement Club,96
Beacon Hill,97
Woller Creek,98
Overlook Of Carriage Hills,99
Jefferson Heights,100
Crestlake,101
Parkwood Maintenance,102
Oakwood,103
Mission Ridge,104
Alamo Farmsteads-Babcock Road,105
Steeplebrook,106
Friends Of Friedrich Wilderness Park,107
Royal View,108
Hein-Orchard,109
Dellcrest Forest,110
Wheatley Heights,111
Highland Farms,112
Woodlake,113
Meadowbrook,114
Ventura,115
Castle Hills Forest,116
Churchill Estates,117
Forests At Inwood,118
Deerfield,119
Blanco Woods,120
Bluff Creek,121
Walden Meadows/ Crownridge Of Texas,122
Huntington Place,123
Oakland Estates,124
Ridgestone,125
Hunters Mill,126
San Antonio St. James Place,127
Northern Hills,128
Northern Heights,129
Citizens On Alert,130
Hills Of Park North,131
Gold Canyon,132
Cavalo Creek Estates,133
Roseheart,134
Northchase,135
Denver Heights,136
Harvard Place - Eastlawn,137
United Homeowners,138
Hidden Meadow,139
Oak Hills,140
Pecan Valley Park Estates/ Pecan Valley,141
Pecan Valley,142
Roosevelt Park,143
Avenida Guadalupe,144
Brady Gardens,145
Candlewood Park,146
Sunrise Neighborhood Coalition,147
Woodmont,148
Dellview Area,149
North Shearer Hills,150
Shearer Hills - Ridgeview,151
Northwest Los Angeles Heights,152
Canyon View,153
Encino Ranch,154
Woods Of Shavano,155
Winchester Hills,156
Westover Forest Hoa,157
Shavano Garden Homes,158
Wilshire Village,159
Fieldstone,160
Stonefield,161
Northern Hills Country Village,162
Gardens At Brookhollow,163
Lorrence Creek,164
San Antonio Tierra Del Sol,165
Thousand Oaks Condominiums/ Thousand Oaks,166
Oakland Heights,167
The Park-Waters,168
Deer Hollow,169
Woodlands Of Camino Real,170
Shavano Forest,171
Heritage,172
Rainbow Hills,173
Springvale,174
Hunters Creek,175
Ridgestone No. 9,176
Royal Ridge,177
Arboretum,178
Scattered Oaks,179
Big Springs,180
Forest At Stone Oak,181
San Antonio Remington Heights,182
Promontory Pointe-Heights,183
Las Lomas/ Stone Oak,184
Champions Springs-Sundance At Stone Oak/ Stone Oak,185
Sonterra Villas Townhome Condominium/ Sonterra/ Stone Oak,186
Mockingbird Hill,187
145 Association,188
165 Association,189
Country View Village/ Alamo Farmsteads-Babcock Road,190
Alamo Farmsteads-Babcock Road/ Owners Association Of Westfield,191
Cielo Vista,192
Hills And Dales,193
Ridgehaven Volunteer,194
Creekview Estates,195
Eckhert Crossing,196
Villages Of Westcreek,197
Villas De Esperanza,198
Vistas Of Encino Park,199
Encino Bluff,200
Encino Creek,201
Emerald Forest,202
Redland Woods,203
Champions Ridge,204
The Overlook,205
Stone Oak Meadows,206
Stone Valley,207
Stone Oak Parke,208
Greystone Country Estates,209
Stone Mountain/ Stone Oak,210
Mesa Vista/ Stone Oak,211
The Seventh At Sonterra/ The Vineyard,212
Redland Ridge,213
Thousand Oaks,214
Oakhollow Park,215
Oak Haven Heights,216
The Champions Estates/ Stone Oak,217
The Vineyard,218
Stone Oak Communities Of Mutual Amenities/ Stone Oak,219
Santa Fe Trails,220
Hill Country Villas,221
Quintana Community,222
Mahncke Park,223
Wildwood West,224
Quail Creek,225
San Antonio Creekside,226
Timber Ridge,227
Elm Creek,228
Mission Trace/ Vance Jackson,229
Owners Association Of Lago Vista,230
Oak Valley,231
Vance Jackson,232
Jefferson,233
Stonegate Hills At Westover Hill,234
Mission San Jose,235
Guilbeau Park,236
Wellsprings/ Vance Jackson,237
Ingram Hills,238
Stablewood/ Valley Hi North,239
Sierra Springs,240
San Antonio Steubing Ranch,241
Dignowity Hill/ St. Paul Square,242
Braun Willow Unit2,243
Villas Of Babcock (Summerwind),244
Oakdell Council Of Co-Owners,245
Southwest,246
Dreamhill Estates Neighborhood,247
Inspiration Hills,248
Jefferson/ Woodlawn Lake,249
Provincia Villas,250
Mccreless Meadows,251
Braun Station West,252
Great Northwest,253
Misty Oaks,254
Lindsey Place,255
Woodglen,256
Oak Creek,257
Colonies Village/ Vance Jackson,258
Hillcrest,259
Edison,260
Alta Vista,261
Braun Station East,262
Hidden Cove - Indian Creek/ Southwest,263
Lackland Terrace,264
Cable-Westwood,265
United Westwood,266
Lafayette Place,267
Northwest Park,268
Five Points,269
Government Hill Alliance,270
French Creek Village,271
Culebra Park,272
Property Owners Of Apple Creek,273
People Active In Community Effort,274
Loma Park,275
Village At Rustic Oaks,276
Northwest Crossing,277
Pipers Meadow,278
Crown Meadows,279
Park Place,280
Valley Hi North,281
Castle Wood Forest,282
Rolling Ridge Village/ Rolling Ridge Club,283
Rolling Ridge Club,284
Sunshine Estates,285
Jefferson/ Monticello Park/ Woodlawn Lake,286
Laddie Place And North Wilson,287
Jefferson/ Monticello Park,288
Woodlawn Lake,289
Donaldson Terrace,290
University Park,291
Woodbridge At Monte Viejo,292
Longs Ridge,293
Memorial Heights,294
Loma Vista,295
Villa De San Antonio,296
Community Workers Council,297
Community Workers Council/ Los Jardines,298
Southpark,299
Los Jardines,300
Greater Gardendale,301
Thompson Community,302
Hunters Chase Unit 6,303
Hunters Creek North,304
Comanche Community,305
Kingsborough Ridge,306
East Pyron - Symphony Lane/ Mission San Jose,307
Prospect Hill,308
Riverside,309
Woods Of Deerfield,310
Bluffview At Camino Real,311
Bitters Enclave,312
Lavaca,313
King William,314
Los Angeles Heights - Keystone,315
Northmoor,316
Olmos Park Terrace,317
River Road,318
Tobin Hill,319
Dignowity Hill,320
St. Paul Square,321
Westfort Alliance,322
Historic Gardens,323
Skyline Park,324
Coliseum Oaks,325
Eastgate,326
Lakeside,327
Southeast Side,328
Artesia Community Guild,329
Sunny Slope,330
Highland Park,331
Southeast Citizens Committee/ Highland Park,332
Highland Hills,333
The Oaks/ Oak Park - Northwood,334
Property Owners Of Northhampton,335
Forest Oak,336
Enchanted Village/ Greater Harmony Hills,337
Greater Harmony Hills,338
Terrell Heights,339
Knollcreek,340
Villas At Redland Ranch,341
Range Rider,342
Stone Oak,343
Redland Ranch At Elm Creek,344
Cambridge,345
Stone Wood,346
Eden,347
Oak Grove Estates,348
Oak Park - Northwood,349
East Terrell Hills,350
North Castle Hills,351
Encino Park,352
Arena District,353
Tezel Trails,354
Hunters Brook,355
Los Angeles Heights - Keystone/ Northwest Los Angeles Heights,356
Highland Forest,357
Summit At Bulverde Creek,358
Woodthorn,359
Lower Southeast Side,360
San Antonio Cambridge Village/ East Terrell Hills,361
Wynnwood Condominium,362
Village In The Woods,363
Riverside South,364
Spring Creek Neighborhood Alliance,365
Trophy Ridge,366
Thunderbird Hills,367
Maverick Creek,368
Crownridge Of Texas Owners Association,369
El Chaparral Fertile Valley,370
The Terraces At Encino Creek Owners Association,371
Sonoma Ranch,372
Eastwood Village,373
Arbor At Sonoma Ranch,374
Feather Ridge,375
Longs Creek,376
