name,unique_id
Qualcomm,0
Egger Highlands,1
Old Town,2
Morena,3
Midtown,4
Fairmont Village,5
Lincoln Park,6
Grantville,7
Del Cerro,8
San Pasqual,9
Ocean Beach,10
Mission Bay Park,11
La Jolla,12
Torrey Pines,13
Bay Ho,14
Linda Vista,15
Castle,16
Valencia Park,17
College East,18
Clairemont Mesa East,19
Tierrasanta,20
Scripps Ranch,21
Rancho Encantada,22
Mission Beach,23
Miramar Ranch North,24
Mission Bay,25
North City,26
Loma Portal,27
Gaslamp,28
Hillcrest,29
North Park,30
Southcrest,31
Teralta West,32
Mt Hope,33
Teralta East,34
Ridgeview/Webster,35
Paradise Hills,36
Bay Terraces,37
Sorrento Valley,38
Serra Mesa,39
Rancho Bernardo,40
La Playa,41
Horton Plaza,42
Core-Columbia,43
Burlingame,44
Stockton,45
Mountain View,46
Redwood Village/Rolando Park,47
Encanto,48
Mira Mesa,49
San Carlos,50
Rancho Penasquitos,51
Sunset Cliffs,52
Wooded Area,53
Pacific Beach,54
Carmel Valley,55
Torrey Highlands,56
South Park,57
Azalea/Hollywood Park,58
Chollas View,59
Colina Del Sol,60
Ocean Crest,61
Sherman Heights,62
Roseville / Fleet Ridge,63
Normal Heights,64
Emerald Hills,65
Mission Hills,66
Islenair,67
College West,68
Allied Gardens,69
Skyline,70
Lake Murray,71
University City,72
Shelltown,73
Midway District,74
Barrio Logan,75
Talmadge,76
Rolando,77
Point Loma Heights,78
Nestor,79
Bay Park,80
University Heights,81
Adams North,82
Kensington,83
Oak Park,84
North Clairemont,85
Jamacha Lomita,86
Torrey Preserve,87
Del Mar Heights,88
Palm City,89
Otay Mesa West,90
Little Italy,91
Mission Valley West,92
Logan Heights,93
Mission Valley East,94
East Village,95
Grant Hill,96
Border,97
Fairmont Park,98
Alta Vista,99
Clairemont Mesa West,100
Birdland,101
Miramar,102
Kearny Mesa,103
Black Mountain Ranch,104
Petco Park,105
Balboa Park,106
Fox Canyon,107
Otay Mesa,108
Marina,109
Cortez,110
Cherokee Point,111
Corridor,112
Swan Canyon,113
Broadway Heights,114
Tijuana River Valley,115
San Ysidro,116
Chollas Creek,117
Carmel Mountain,118
Harborview,119
Park West,120
Golden Hill,121
El Cerrito,122
Sabre Springs,123
Adams Avenue Corridor,112
Carmel Mountain Ranch,118
Clairemont,19
Clairemont Mesa,19
Cortez Hill,110
Del Mar,88
Gaslamp Quarter,28
Greater North Park Area,30
La Jolla Colony,12
La Jolla Village,12
Marina District,109
Mission,11
Mission Valley,92
Penasquitos,51
Point Loma,78
Rancho Peñasquitos,51
San Diego Gaslamp Quarter,28
Skyline-Paradise Hills,36
South Bay Terraces,37
Vista,15
4S Ranch,124
Adams Avenue,125
Alameda,126
Aliso Viejo,127
Alpine,128
Banker's Hill,129
Bankers Hill,129
Barona,130
Bayview,131
Berkeley,132
Bernal Heights,133
Bonita,134
Cardiff,135
Cardiff By The Sea,135
Cardiff-by-the-Sea,135
Carlsbad,136
Carmel Country Highlands,137
Castro,138
Central San Diego,139
Chula Vista,140
City Heights,141
City of San Diego,142
Clairmont,143
Claremont,144
College Area,145
College Grove,146
Convoy District,147
Convoy Street,148
Convoy Street Area,148
Convoy Street area,148
Coronado,149
Del Sur,150
Downtown,151
Downtown San Diego,151
East County,152
East San Diego,153
East San Diego County,153
Eastern San Diego,153
Eastern San Diego County,153
Eastlake,154
El Cajon,155
Encinitas,156
Escondido,157
Fairbanks Ranch,158
Fashion Valley,159
Glen Park,160
Imperial Beach,161
Imperial Beach.,161
Irvine,162
Julian,163
La Mesa,164
Lakeside,165
Lemon Grove,166
Leucadia,167
Liberty Station,168
Mid-City,169
Mid-City San Diego,169
Miraloma Park,170
Mission District,171
Mission Trails,172
Mission Trails Regional Park,172
National City,173
Noe Valley,174
North County,175
North County San Diego,175
Northeast San Diego,176
Northern San Diego,177
Oakland,178
Ocean View Hills,179
Oceanside,180
Otay Ranch,181
Outer Sunset,182
Pacific Heights,183
Poway,184
Poway Unified School District,184
Presidio Heights,185
Ramona,186
Rancho Santa Fe,187
Richmond,188
Richmond District,188
SOMA,189
San Diego,139
San Diego City,142
San Diego City Heights,141
San Diego City Proper,139
San Diego Metro,139
San Diego Metropolitan,139
San Diego Mid-City,169
San Diego Southeast,139
San Diego Southeastern,139
San Diego State University Area,139
San Diego Urban Area,139
San Dieguito Union High School District,190
San Elijo Hills,191
San Marcos,192
San Mateo County,193
Santaluz,194
Santee,195
Sea Cliff,196
Shelter Island,197
Solana Beach,198
South Bay,199
South Bay Area,199
South Carlsbad,136
South County,200
South San Diego,139
Southeast San Diego,139
Southeastern San Diego,139
Spring Valley,201
Sunset District,202
Sycuan,203
Temecula,204
Torrey Hills,205
UTC,206
University Town Center,207
University of California San Diego Area,139
Uptown,208
Valley Center,209
West Portal,210
southeast San Diego,139
