name,unique_id
Canoas Garden And Almaden,0
Gramercy And Alexander,1
Farm And Rubino Dr,2
Mayfair,3
Owsley,4
Spanish Cove,5
Tropicana And Lanai,6
Valley Palms,7
Olinder-Mckinley,8
Park Pleasant And Mount Pleasant,9
Cassell And Foxdale,10
Dobern And Capitol Park,11
Sierra Vista,12
Fruitdale And Sherman Oaks,13
Los Arboles,14
Andrew Hill And Sylvandale,15
Hellyer,16
Silver Creek High School,17
Pink Elephant And Pal,18
Sheppard,19
Plata Arroyo,20
Lyndale,21
Overfelt High,22
Independence And Jackson,23
The Glens,24
Las Plumas,25
La Pala,26
John Vianney,27
Guadalupe Washington,28
Goodyear Mastic,29
Cureton And Joseph George,30
Hillview,31
Bonita Park,32
Gimelli-Delano Manongs,33
East Hills And White,34
Checkers,35
Alexian And Jackson,36
Alma,37
Olinder-Brookwood Terrace,38
Welch Park,39
Communications Hill,40
Seven Trees And Lairon,41
The Plant,42
Valley Christian,43
Skyway And Monterey,44
Coyote And Senter,45
Roundtable,46
Davis And Roeder,47
The Woods,48
Edenvale,49
Norwood,50
Calico Creek,51
Evergreen Valley High,52
Quimby Oak,53
Chaboya,54
Stonegate,55
Aborn And Silver Creek,56
Dahl,57
Windmill Springs,58
Dove Hill,59
La Vey,60
Yb Lucretia,61
Spartan Keyes And Wool Creek,62
Virginia And Martha,63
Little Saigon And Spring Brook,64
Hoffman Via Monte,65
Starbird,66
Cadillac Winchester,67
Parkmoor,68
Fruitdale,69
Richmond Menker,70
Burbank,71
St James Park,72
Stripe Elementary And Great Oaks,73
Oak Grove,74
Poco,75
Lido,76
Toyon,77
Golf And Gridley,78
Pacina,79
Boeger And Fernish Park,80
Mount Pleasant,81
Warner Heights,82
Kolmar And Ryan,83
Sundown,84
James Lick And Pleasant Ridge,85
Warm Springs,86
Meadow Fair,87
West Evergreen,88
Fairground,89
Umbarger,90
Japantown And Hensley,91
Julian St James,92
Horace Mann And Sjsu,93
Downtown And Sofa,94
South University,95
Roosevelt,96
Turtle Rock And Meadows,97
Mount Alban And Sunshadow And Olinder Industrial,98
Greater Santee,99
Naglee,100
Luna Park,101
Northside-Empire Gardens,102
Hyde Park,103
Japantown And Luna Park,104
Wooster And East Ct And West Ct,105
Northside-Grant,106
Northside-Backesto,107
Valley Medical,108
Monroe,109
Rose Garden,110
Winchester Lynnhaven,111
Mitty,112
Blackford,113
Rogers,114
Murdock,115
Calabazas,116
Cypress,117
Alviso,118
Trimble Business Area,119
Rosemary,120
Tasman And Zanker,121
Airport,122
Walnut And N Bascom,123
Alameda,124
O'Connor,125
Valley Fair,126
Sierramont,127
Piedmont Hills And St Victor,128
Majestic,129
Berryessa Creek,130
Cataldi,131
North Berryessa,132
Sierra Vista Hills,133
Noble,134
Suncrest,135
Penitencia Creek,136
Commercial,278
Vinci Park,138
Flickinger,139
Berryessa Flea Market-Bart,140
North Valley,141
Orchard,142
Brooktree,143
Brokaw,144
Ruskin,145
Cherrywood,146
Cadwallader,147
Fowler Creek,148
Silver Creek Country Club,149
Meadowlands,150
The Villages,151
Villages,152
Estates,153
Piedmont,154
Valle Vista,155
Thompson Creek,156
Reed,157
Dry Creek,158
Cherry,159
Willow Vale,160
Tamien,161
The Willows,162
River Glen,163
Southwest,164
Stokes,165
South Stokes,166
Greylands,167
Palmhaven,168
North Willow Glen,169
Downtown Lincoln Ave,170
Gardner,171
Steindorf-Doerr,172
Lincoln Glen,173
Schallenberger,174
Willow Glen South,175
Kirk,176
Baldwin,177
Los Paseos,178
Metcalf,179
Santa Teresa Country Club,180
Santa Teresa,181
Village Oaks,182
Parma,183
La Colina,184
Palmia Park,185
Calero And Oak Ridge,186
Glider,187
Sakamota,188
Frost And Herman,189
Chesbro,190
Cahalan,191
Steinbeck And Allen,192
Almaden Lake,193
Martial Cottle Park,194
Farnham,195
Cambrian Park,196
Houge Parker,197
Oster,198
Sartortte And Rose,199
Branham/Pearl And Erikson,200
Branham,201
Hammer,202
Pinehurst,203
Thousand Oaks,204
Valley View Reed,205
Narvaez,206
Briarwood,207
Bagby,208
Cambrian,209
Campbell Village Shamrock,210
Guadalupe Oak Grove,211
Los Alamitos,212
Holy Spirit,213
Los Alamitos Creek,214
Graystone,215
Singer Park,216
Mckean,217
Quicksilver,218
Santa Teresa Hills,219
Williams,220
Almaden Country Club,221
Castillero And Simonds,222
Trinidad,223
Almaden Meadows,224
Guadalupe,265
Redmond,226
Almaden Winery,227
Dartmouth,228
Hayes,229
Park View,230
Carson And Meadows,231
Rosenbaum,232
Gunderson And Vista Park,233
Playa Del Rey,234
Good Samaritan,235
Carlton,236
Los Gatos Memorial,237
Union,238
Carden,239
Lone Hill,240
Noddin And Leigh,241
Baker West,242
English Estates,243
Hamann Park,244
Winchester,245
Moreland West,246
San Tomas West,247
Strawberry Park,248
Westgate Village,249
Blossom Valley,250
Silver Leaf,251
Delmas Park,252
University,253
Riverbend/Golden Wheel/South Bay,254
Vendome And Ryland,255
Shasta/Hanchett Park,256
Sunrise Almaden,257
Ramblewood/Tuers,258
Mulberry,259
Coyote Creek North,260
Forest Hill/Westmont,261
Belwood-Belgatos,262
Alta Vista,263
San Tomas Aquino Park,264
Muir,266
O'Connor Park,267
Diridon,268
Coleman,269
Stevens Creek,270
Kooser,271
Dentwood,272
Willow Glen West,273
Santa Teresa West,274
Willowmont,275
Lincoln And Roy,276
Civic Center,277
Berryessa Crossing,279
Almaden Guadalupe Park,280
